EID,Title,URL
661493396,"Ep. 146 | 2 Bears 1 Cave w/ Andrew Santino & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5613438030.mp3?updated=1705010782"
661493395,"Ep. 145 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7922080846.mp3?updated=1705010943"
661493394,"Ep. 144 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6847146637.mp3?updated=1705011162"
661493393,"Ep. 143 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1193510717.mp3?updated=1705011293"
661493391,"Ep. 142 | 2 Bears 1 Cave w/ Tom Segura & Mark Bell","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2309565051.mp3?updated=1705011301"
661493390,"Ep. 141 | 2 Bears 1 Cave w/ Tom Segura & Ryan Sickler","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6472200090.mp3?updated=1705011665"
661493389,"Ep. 140 | 2 Bears 1 Cave w/ Sal Vulcano & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6319765147.mp3?updated=1705011834"
661493388,"Ep. 139 | 2 Bears 1 Cave w/ Tom Segura & Danny Brown","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6701915440.mp3?updated=1705012086"
661493387,"Ep. 138 | 2 Bears 1 Cave w/ Tom Segura & Ron White","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9133963265.mp3?updated=1705012159"
661493386,"Ep. 137 | 2 Bears 1 Cave w/ Tom Segura & Yannis Pappas","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2974568289.mp3?updated=1705012294"
